order_date;product;units_ordered;festivo;weight
2008-01-04;tarta opera;1.0;0.0;0.0
2008-01-04;tortel;151.0;0.0;0.0
2008-01-05;baguette;98.0;0.0;0.0
2008-01-05;croissant petit;27.0;0.0;0.0
2008-01-05;croissant simple;45.0;0.0;0.0
2008-01-05;milhojas frambuesa;7.0;0.0;0.0
2008-01-05;mousse tres chocolates;0.0;0.0;0.0
2008-01-05;palmera chocolate;9.0;0.0;0.0
2008-01-05;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-05;tarta de manzana;0.0;0.0;0.0
2008-01-05;tarta opera;0.0;0.0;0.0
2008-01-05;tortel;45.0;0.0;0.0
2008-01-06;baguette;130.0;0.0;0.0
2008-01-06;croissant petit;54.0;0.0;0.0
2008-01-06;croissant simple;132.0;0.0;0.0
2008-01-06;milhojas frambuesa;8.0;0.0;0.0
2008-01-06;mousse tres chocolates;0.0;0.0;0.0
2008-01-06;palmera chocolate;2.0;0.0;0.0
2008-01-06;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-06;tarta de manzana;0.0;0.0;0.0
2008-01-06;tarta opera;0.0;0.0;0.0
2008-01-06;tortel;106.0;0.0;0.0
2008-01-07;baguette;127.0;0.0;0.0
2008-01-07;croissant petit;114.0;0.0;0.0
2008-01-07;croissant simple;84.0;0.0;0.0
2008-01-07;milhojas frambuesa;13.0;0.0;0.0
2008-01-07;mousse tres chocolates;0.0;0.0;0.0
2008-01-07;palmera chocolate;22.0;0.0;0.0
2008-01-07;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-07;tarta de manzana;2.0;0.0;0.0
2008-01-07;tarta opera;0.0;0.0;0.0
2008-01-07;tortel;149.0;0.0;0.0
2008-01-08;baguette;79.0;0.0;0.0
2008-01-08;croissant petit;131.0;0.0;0.0
2008-01-08;croissant simple;133.0;0.0;0.0
2008-01-08;milhojas frambuesa;10.0;0.0;0.0
2008-01-08;mousse tres chocolates;1.0;0.0;0.0
2008-01-08;palmera chocolate;42.0;0.0;0.0
2008-01-08;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-08;tarta de manzana;4.0;0.0;0.0
2008-01-08;tarta opera;0.0;0.0;0.0
2008-01-08;tortel;245.0;0.0;0.0
2008-01-09;baguette;69.0;0.0;0.0
2008-01-09;croissant petit;257.0;0.0;0.0
2008-01-09;croissant simple;146.0;0.0;0.0
2008-01-09;milhojas frambuesa;12.0;0.0;0.0
2008-01-09;mousse tres chocolates;1.0;0.0;0.0
2008-01-09;palmera chocolate;37.0;0.0;0.0
2008-01-09;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-09;tarta de manzana;6.0;0.0;0.0
2008-01-09;tarta opera;0.0;0.0;0.0
2008-01-09;tortel;267.0;0.0;0.0
2008-01-10;baguette;65.0;0.0;0.0
2008-01-10;croissant petit;145.0;0.0;0.0
2008-01-10;croissant simple;135.0;0.0;0.0
2008-01-10;milhojas frambuesa;10.0;0.0;0.0
2008-01-10;mousse tres chocolates;0.0;0.0;0.0
2008-01-10;palmera chocolate;43.0;0.0;0.0
2008-01-10;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-10;tarta de manzana;7.0;0.0;0.0
2008-01-10;tarta opera;0.0;0.0;0.0
2008-01-10;tortel;227.0;0.0;0.0
2008-01-11;baguette;106.0;0.0;0.0
2008-01-11;croissant petit;145.0;0.0;0.0
2008-01-11;croissant simple;172.0;0.0;0.0
2008-01-11;milhojas frambuesa;16.0;0.0;0.0
2008-01-11;mousse tres chocolates;1.0;0.0;0.0
2008-01-11;palmera chocolate;51.0;0.0;0.0
2008-01-11;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-11;tarta de manzana;9.0;0.0;0.0
2008-01-11;tarta opera;0.0;0.0;0.0
2008-01-11;tortel;320.0;0.0;0.0
2008-01-12;baguette;132.0;0.0;0.0
2008-01-12;croissant petit;136.0;0.0;0.0
2008-01-12;croissant simple;155.0;0.0;0.0
2008-01-12;milhojas frambuesa;39.0;0.0;0.0
2008-01-12;mousse tres chocolates;0.0;0.0;0.0
2008-01-12;palmera chocolate;64.0;0.0;0.0
2008-01-12;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-12;tarta de manzana;12.0;0.0;0.0
2008-01-12;tarta opera;1.0;0.0;0.0
2008-01-12;tortel;302.0;0.0;0.0
2008-01-13;baguette;133.0;0.0;0.0
2008-01-13;croissant petit;115.0;0.0;0.0
2008-01-13;croissant simple;129.0;0.0;0.0
2008-01-13;milhojas frambuesa;40.0;0.0;0.0
2008-01-13;mousse tres chocolates;1.0;0.0;0.0
2008-01-13;palmera chocolate;62.0;0.0;0.0
2008-01-13;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-13;tarta de manzana;15.0;0.0;0.0
2008-01-13;tarta opera;0.0;0.0;0.0
2008-01-13;tortel;201.0;0.0;0.0
2008-01-14;baguette;61.0;0.0;0.0
2008-01-14;croissant petit;117.0;0.0;0.0
2008-01-14;croissant simple;125.0;0.0;0.0
2008-01-14;milhojas frambuesa;13.0;0.0;0.0
2008-01-14;mousse tres chocolates;0.0;0.0;0.0
2008-01-14;palmera chocolate;40.0;0.0;0.0
2008-01-14;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-14;tarta de manzana;12.0;0.0;0.0
2008-01-14;tarta opera;0.0;0.0;0.0
2008-01-14;tortel;237.0;0.0;0.0
2008-01-15;baguette;61.0;0.0;0.0
2008-01-15;croissant petit;192.0;0.0;0.0
2008-01-15;croissant simple;72.0;0.0;0.0
2008-01-15;milhojas frambuesa;11.0;0.0;0.0
2008-01-15;mousse tres chocolates;0.0;0.0;0.0
2008-01-15;palmera chocolate;40.0;0.0;0.0
2008-01-15;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-15;tarta de manzana;7.0;0.0;0.0
2008-01-15;tarta opera;0.0;0.0;0.0
2008-01-15;tortel;262.0;0.0;0.0
2008-01-16;baguette;62.0;0.0;0.0
2008-01-16;croissant petit;101.0;0.0;0.0
2008-01-16;croissant simple;158.0;0.0;0.0
2008-01-16;milhojas frambuesa;13.0;0.0;0.0
2008-01-16;mousse tres chocolates;1.0;0.0;0.0
2008-01-16;palmera chocolate;40.0;0.0;0.0
2008-01-16;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-16;tarta de manzana;10.0;0.0;0.0
2008-01-16;tarta opera;0.0;0.0;0.0
2008-01-16;tortel;196.0;0.0;0.0
2008-01-17;baguette;76.0;0.0;0.0
2008-01-17;croissant petit;298.0;0.0;0.0
2008-01-17;croissant simple;115.0;0.0;0.0
2008-01-17;milhojas frambuesa;13.0;0.0;0.0
2008-01-17;mousse tres chocolates;0.0;0.0;0.0
2008-01-17;palmera chocolate;41.0;0.0;0.0
2008-01-17;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-17;tarta de manzana;9.0;0.0;0.0
2008-01-17;tarta opera;0.0;0.0;0.0
2008-01-17;tortel;272.0;0.0;0.0
2008-01-18;baguette;110.0;0.0;0.0
2008-01-18;croissant petit;307.0;0.0;0.0
2008-01-18;croissant simple;181.0;0.0;0.0
2008-01-18;milhojas frambuesa;14.0;0.0;0.0
2008-01-18;mousse tres chocolates;2.0;0.0;0.0
2008-01-18;palmera chocolate;55.0;0.0;0.0
2008-01-18;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-18;tarta de manzana;10.0;0.0;0.0
2008-01-18;tarta opera;0.0;0.0;0.0
2008-01-18;tortel;325.0;0.0;0.0
2008-01-19;baguette;148.0;0.0;0.0
2008-01-19;croissant petit;236.0;0.0;0.0
2008-01-19;croissant simple;178.0;0.0;0.0
2008-01-19;milhojas frambuesa;39.0;0.0;0.0
2008-01-19;mousse tres chocolates;4.0;0.0;0.0
2008-01-19;palmera chocolate;68.0;0.0;0.0
2008-01-19;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-19;tarta de manzana;28.0;0.0;0.0
2008-01-19;tarta opera;0.0;0.0;0.0
2008-01-19;tortel;340.0;0.0;0.0
2008-01-20;baguette;154.0;0.0;0.0
2008-01-20;croissant petit;75.0;0.0;0.0
2008-01-20;croissant simple;147.0;0.0;0.0
2008-01-20;milhojas frambuesa;44.0;0.0;0.0
2008-01-20;mousse tres chocolates;1.0;0.0;0.0
2008-01-20;palmera chocolate;77.0;0.0;0.0
2008-01-20;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-20;tarta de manzana;19.0;0.0;0.0
2008-01-20;tarta opera;0.0;0.0;0.0
2008-01-20;tortel;260.0;0.0;0.0
2008-01-21;baguette;73.0;0.0;0.0
2008-01-21;croissant petit;128.0;0.0;0.0
2008-01-21;croissant simple;144.0;0.0;0.0
2008-01-21;milhojas frambuesa;14.0;0.0;0.0
2008-01-21;mousse tres chocolates;3.0;0.0;0.0
2008-01-21;palmera chocolate;45.0;0.0;0.0
2008-01-21;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-21;tarta de manzana;12.0;0.0;0.0
2008-01-21;tarta opera;0.0;0.0;0.0
2008-01-21;tortel;240.0;0.0;0.0
2008-01-22;baguette;80.0;0.0;0.0
2008-01-22;croissant petit;182.0;0.0;0.0
2008-01-22;croissant simple;146.0;0.0;0.0
2008-01-22;milhojas frambuesa;14.0;0.0;0.0
2008-01-22;mousse tres chocolates;0.0;0.0;0.0
2008-01-22;palmera chocolate;45.0;0.0;0.0
2008-01-22;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-22;tarta de manzana;9.0;0.0;0.0
2008-01-22;tarta opera;0.0;0.0;0.0
2008-01-22;tortel;262.0;0.0;0.0
2008-01-23;baguette;79.0;0.0;0.0
2008-01-23;croissant petit;171.0;0.0;0.0
2008-01-23;croissant simple;108.0;0.0;0.0
2008-01-23;milhojas frambuesa;11.0;0.0;0.0
2008-01-23;mousse tres chocolates;0.0;0.0;0.0
2008-01-23;palmera chocolate;49.0;0.0;0.0
2008-01-23;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-23;tarta de manzana;9.0;0.0;0.0
2008-01-23;tarta opera;0.0;0.0;0.0
2008-01-23;tortel;296.0;0.0;0.0
2008-01-24;baguette;75.0;0.0;0.0
2008-01-24;croissant petit;204.0;0.0;0.0
2008-01-24;croissant simple;144.0;0.0;0.0
2008-01-24;milhojas frambuesa;11.0;0.0;0.0
2008-01-24;mousse tres chocolates;2.0;0.0;0.0
2008-01-24;palmera chocolate;42.0;0.0;0.0
2008-01-24;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-24;tarta de manzana;8.0;0.0;0.0
2008-01-24;tarta opera;0.0;0.0;0.0
2008-01-24;tortel;242.0;0.0;0.0
2008-01-25;baguette;106.0;0.0;0.0
2008-01-25;croissant petit;234.0;0.0;0.0
2008-01-25;croissant simple;180.0;0.0;0.0
2008-01-25;milhojas frambuesa;16.0;0.0;0.0
2008-01-25;mousse tres chocolates;4.0;0.0;0.0
2008-01-25;palmera chocolate;52.0;0.0;0.0
2008-01-25;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-25;tarta de manzana;9.0;0.0;0.0
2008-01-25;tarta opera;0.0;0.0;0.0
2008-01-25;tortel;350.0;0.0;0.0
2008-01-26;baguette;151.0;0.0;0.0
2008-01-26;croissant petit;125.0;0.0;0.0
2008-01-26;croissant simple;191.0;0.0;0.0
2008-01-26;milhojas frambuesa;46.0;0.0;0.0
2008-01-26;mousse tres chocolates;3.0;0.0;0.0
2008-01-26;palmera chocolate;81.0;0.0;0.0
2008-01-26;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-26;tarta de manzana;22.0;0.0;0.0
2008-01-26;tarta opera;1.0;0.0;0.0
2008-01-26;tortel;360.0;0.0;0.0
2008-01-27;baguette;162.0;0.0;0.0
2008-01-27;croissant petit;83.0;0.0;0.0
2008-01-27;croissant simple;136.0;0.0;0.0
2008-01-27;milhojas frambuesa;47.0;0.0;0.0
2008-01-27;mousse tres chocolates;1.0;0.0;0.0
2008-01-27;palmera chocolate;76.0;0.0;0.0
2008-01-27;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-27;tarta de manzana;23.0;0.0;0.0
2008-01-27;tarta opera;0.0;0.0;0.0
2008-01-27;tortel;280.0;0.0;0.0
2008-01-28;baguette;58.0;0.0;0.0
2008-01-28;croissant petit;129.0;0.0;0.0
2008-01-28;croissant simple;141.0;0.0;0.0
2008-01-28;milhojas frambuesa;13.0;0.0;0.0
2008-01-28;mousse tres chocolates;0.0;0.0;0.0
2008-01-28;palmera chocolate;44.0;0.0;0.0
2008-01-28;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-28;tarta de manzana;11.0;0.0;0.0
2008-01-28;tarta opera;0.0;0.0;0.0
2008-01-28;tortel;240.0;0.0;0.0
2008-01-29;baguette;69.0;0.0;0.0
2008-01-29;croissant petit;318.0;0.0;0.0
2008-01-29;croissant simple;107.0;0.0;0.0
2008-01-29;milhojas frambuesa;13.0;0.0;0.0
2008-01-29;mousse tres chocolates;3.0;0.0;0.0
2008-01-29;palmera chocolate;43.0;0.0;0.0
2008-01-29;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-29;tarta de manzana;12.0;0.0;0.0
2008-01-29;tarta opera;0.0;0.0;0.0
2008-01-29;tortel;254.0;0.0;0.0
2008-01-30;baguette;74.0;0.0;0.0
2008-01-30;croissant petit;163.0;0.0;0.0
2008-01-30;croissant simple;155.0;0.0;0.0
2008-01-30;milhojas frambuesa;14.0;0.0;0.0
2008-01-30;mousse tres chocolates;0.0;0.0;0.0
2008-01-30;palmera chocolate;42.0;0.0;0.0
2008-01-30;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-30;tarta de manzana;10.0;0.0;0.0
2008-01-30;tarta opera;0.0;0.0;0.0
2008-01-30;tortel;266.0;0.0;0.0
2008-01-31;baguette;83.0;0.0;0.0
2008-01-31;croissant petit;183.0;0.0;0.0
2008-01-31;croissant simple;105.0;0.0;0.0
2008-01-31;milhojas frambuesa;12.0;0.0;0.0
2008-01-31;mousse tres chocolates;2.0;0.0;0.0
2008-01-31;palmera chocolate;48.0;0.0;0.0
2008-01-31;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-31;tarta de manzana;10.0;0.0;0.0
2008-01-31;tarta opera;0.0;0.0;0.0
2008-01-31;tortel;276.0;0.0;0.0
2008-02-01;baguette;97.0;0.0;0.0
2008-02-01;croissant petit;179.0;0.0;0.0
2008-02-01;croissant simple;174.0;0.0;0.0
2008-02-01;milhojas frambuesa;19.0;0.0;0.0
2008-02-01;mousse tres chocolates;0.0;0.0;0.0
2008-02-01;palmera chocolate;64.0;0.0;0.0
2008-02-01;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-01;tarta de manzana;14.0;0.0;0.0
2008-02-01;tarta opera;0.0;0.0;0.0
2008-02-01;tortel;346.0;0.0;0.0
2008-02-02;baguette;132.0;0.0;0.0
2008-02-02;croissant petit;160.0;0.0;0.0
2008-02-02;croissant simple;169.0;0.0;0.0
2008-02-02;milhojas frambuesa;53.0;0.0;0.0
2008-02-02;mousse tres chocolates;3.0;0.0;0.0
2008-02-02;palmera chocolate;88.0;0.0;0.0
2008-02-02;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-02;tarta de manzana;24.0;0.0;0.0
2008-02-02;tarta opera;0.0;0.0;0.0
2008-02-02;tortel;362.0;0.0;0.0
2008-02-03;baguette;169.0;0.0;0.0
2008-02-03;croissant petit;145.0;0.0;0.0
2008-02-03;croissant simple;133.0;0.0;0.0
2008-02-03;milhojas frambuesa;50.0;0.0;0.0
2008-02-03;mousse tres chocolates;0.0;0.0;0.0
2008-02-03;palmera chocolate;86.0;0.0;0.0
2008-02-03;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-03;tarta de manzana;23.0;0.0;0.0
2008-02-03;tarta opera;1.0;0.0;0.0
2008-02-03;tortel;370.0;0.0;0.0
2008-02-04;baguette;64.0;0.0;0.0
2008-02-04;croissant petit;124.0;0.0;0.0
2008-02-04;croissant simple;140.0;0.0;0.0
2008-02-04;milhojas frambuesa;12.0;0.0;0.0
2008-02-04;mousse tres chocolates;0.0;0.0;0.0
2008-02-04;palmera chocolate;45.0;0.0;0.0
2008-02-04;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-04;tarta de manzana;12.0;0.0;0.0
2008-02-04;tarta opera;0.0;0.0;0.0
2008-02-04;tortel;261.0;0.0;0.0
2008-02-05;baguette;78.0;0.0;0.0
2008-02-05;croissant petit;208.0;0.0;0.0
2008-02-05;croissant simple;132.0;0.0;0.0
2008-02-05;milhojas frambuesa;11.0;0.0;0.0
2008-02-05;mousse tres chocolates;1.0;0.0;0.0
2008-02-05;palmera chocolate;48.0;0.0;0.0
2008-02-05;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-05;tarta de manzana;6.0;0.0;0.0
2008-02-05;tarta opera;0.0;0.0;0.0
2008-02-05;tortel;261.0;0.0;0.0
2008-02-06;baguette;72.0;0.0;0.0
2008-02-06;croissant petit;154.0;0.0;0.0
2008-02-06;croissant simple;109.0;0.0;0.0
2008-02-06;milhojas frambuesa;12.0;0.0;0.0
2008-02-06;mousse tres chocolates;2.0;0.0;0.0
2008-02-06;palmera chocolate;49.0;0.0;0.0
2008-02-06;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-06;tarta de manzana;8.0;0.0;0.0
2008-02-06;tarta opera;0.0;0.0;0.0
2008-02-06;tortel;266.0;0.0;0.0
2008-02-07;baguette;71.0;0.0;0.0
2008-02-07;croissant petit;113.0;0.0;0.0
2008-02-07;croissant simple;148.0;0.0;0.0
2008-02-07;milhojas frambuesa;13.0;0.0;0.0
2008-02-07;mousse tres chocolates;2.0;0.0;0.0
2008-02-07;palmera chocolate;49.0;0.0;0.0
2008-02-07;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-07;tarta de manzana;10.0;0.0;0.0
2008-02-07;tarta opera;0.0;0.0;0.0
2008-02-07;tortel;274.0;0.0;0.0
2008-02-08;baguette;98.0;0.0;0.0
2008-02-08;croissant petit;230.0;0.0;0.0
2008-02-08;croissant simple;182.0;0.0;0.0
2008-02-08;milhojas frambuesa;14.0;0.0;0.0
2008-02-08;mousse tres chocolates;4.0;0.0;0.0
2008-02-08;palmera chocolate;61.0;0.0;0.0
2008-02-08;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-08;tarta de manzana;11.0;0.0;0.0
2008-02-08;tarta opera;0.0;0.0;0.0
2008-02-08;tortel;394.0;0.0;0.0
2008-02-09;baguette;134.0;0.0;0.0
2008-02-09;croissant petit;195.0;0.0;0.0
2008-02-09;croissant simple;210.0;0.0;0.0
2008-02-09;milhojas frambuesa;55.0;0.0;0.0
2008-02-09;mousse tres chocolates;1.0;0.0;0.0
2008-02-09;palmera chocolate;90.0;0.0;0.0
2008-02-09;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-09;tarta de manzana;21.0;0.0;0.0
2008-02-09;tarta opera;0.0;0.0;0.0
2008-02-09;tortel;394.0;0.0;0.0
2008-02-10;baguette;179.0;0.0;0.0
2008-02-10;croissant petit;182.0;0.0;0.0
2008-02-10;croissant simple;174.0;0.0;0.0
2008-02-10;milhojas frambuesa;48.0;0.0;0.0
2008-02-10;mousse tres chocolates;5.0;0.0;0.0
2008-02-10;palmera chocolate;80.0;0.0;0.0
2008-02-10;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-10;tarta de manzana;23.0;0.0;0.0
2008-02-10;tarta opera;0.0;0.0;0.0
2008-02-10;tortel;295.0;0.0;0.0
2008-02-11;baguette;74.0;0.0;0.0
2008-02-11;croissant petit;119.0;0.0;0.0
2008-02-11;croissant simple;144.0;0.0;0.0
2008-02-11;milhojas frambuesa;12.0;0.0;0.0
2008-02-11;mousse tres chocolates;1.0;0.0;0.0
2008-02-11;palmera chocolate;47.0;0.0;0.0
2008-02-11;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-11;tarta de manzana;11.0;0.0;0.0
2008-02-11;tarta opera;0.0;0.0;0.0
2008-02-11;tortel;264.0;0.0;0.0
2008-02-12;baguette;71.0;0.0;0.0
2008-02-12;croissant petit;184.0;0.0;0.0
2008-02-12;croissant simple;153.0;0.0;0.0
2008-02-12;milhojas frambuesa;11.0;0.0;0.0
2008-02-12;mousse tres chocolates;0.0;0.0;0.0
2008-02-12;palmera chocolate;45.0;0.0;0.0
2008-02-12;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-12;tarta de manzana;10.0;0.0;0.0
2008-02-12;tarta opera;0.0;0.0;0.0
2008-02-12;tortel;263.0;0.0;0.0
2008-02-13;baguette;60.0;0.0;0.0
2008-02-13;croissant petit;219.0;0.0;0.0
2008-02-13;croissant simple;141.0;0.0;0.0
2008-02-13;milhojas frambuesa;12.0;0.0;0.0
2008-02-13;mousse tres chocolates;0.0;0.0;0.0
2008-02-13;palmera chocolate;47.0;0.0;0.0
2008-02-13;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-13;tarta de manzana;8.0;0.0;0.0
2008-02-13;tarta opera;0.0;0.0;0.0
2008-02-13;tortel;272.0;0.0;0.0
2008-02-14;baguette;70.0;0.0;0.0
2008-02-14;croissant petit;290.0;0.0;0.0
2008-02-14;croissant simple;161.0;0.0;0.0
2008-02-14;milhojas frambuesa;15.0;0.0;0.0
2008-02-14;mousse tres chocolates;2.0;0.0;0.0
2008-02-14;palmera chocolate;56.0;0.0;0.0
2008-02-14;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-14;tarta de manzana;9.0;0.0;0.0
2008-02-14;tarta opera;0.0;0.0;0.0
2008-02-14;tortel;276.0;0.0;0.0
2008-02-15;baguette;93.0;0.0;0.0
2008-02-15;croissant petit;214.0;0.0;0.0
2008-02-15;croissant simple;191.0;0.0;0.0
2008-02-15;milhojas frambuesa;15.0;0.0;0.0
2008-02-15;mousse tres chocolates;2.0;0.0;0.0
2008-02-15;palmera chocolate;64.0;0.0;0.0
2008-02-15;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-15;tarta de manzana;12.0;0.0;0.0
2008-02-15;tarta opera;0.0;0.0;0.0
2008-02-15;tortel;374.0;0.0;0.0
2008-02-16;baguette;137.0;0.0;0.0
2008-02-16;croissant petit;179.0;0.0;0.0
2008-02-16;croissant simple;187.0;0.0;0.0
2008-02-16;milhojas frambuesa;53.0;0.0;0.0
2008-02-16;mousse tres chocolates;4.0;0.0;0.0
2008-02-16;palmera chocolate;99.0;0.0;0.0
2008-02-16;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-16;tarta de manzana;23.0;0.0;0.0
2008-02-16;tarta opera;0.0;0.0;0.0
2008-02-16;tortel;389.0;0.0;0.0
2008-02-17;baguette;182.0;0.0;0.0
2008-02-17;croissant petit;294.0;0.0;0.0
2008-02-17;croissant simple;187.0;0.0;0.0
2008-02-17;milhojas frambuesa;47.0;0.0;0.0
2008-02-17;mousse tres chocolates;1.0;0.0;0.0
2008-02-17;palmera chocolate;101.0;0.0;0.0
2008-02-17;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-17;tarta de manzana;25.0;0.0;0.0
2008-02-17;tarta opera;1.0;0.0;0.0
2008-02-17;tortel;354.0;0.0;0.0
2008-02-18;baguette;61.0;0.0;0.0
2008-02-18;croissant petit;121.0;0.0;0.0
2008-02-18;croissant simple;141.0;0.0;0.0
2008-02-18;milhojas frambuesa;13.0;0.0;0.0
2008-02-18;mousse tres chocolates;0.0;0.0;0.0
2008-02-18;palmera chocolate;44.0;0.0;0.0
2008-02-18;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-18;tarta de manzana;9.0;0.0;0.0
2008-02-18;tarta opera;0.0;0.0;0.0
2008-02-18;tortel;234.0;0.0;0.0
2008-02-19;baguette;81.0;0.0;0.0
2008-02-19;croissant petit;126.0;0.0;0.0
2008-02-19;croissant simple;149.0;0.0;0.0
2008-02-19;milhojas frambuesa;13.0;0.0;0.0
2008-02-19;mousse tres chocolates;0.0;0.0;0.0
2008-02-19;palmera chocolate;46.0;0.0;0.0
2008-02-19;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-19;tarta de manzana;11.0;0.0;0.0
2008-02-19;tarta opera;0.0;0.0;0.0
2008-02-19;tortel;269.0;0.0;0.0
2008-02-20;baguette;72.0;0.0;0.0
2008-02-20;croissant petit;223.0;0.0;0.0
2008-02-20;croissant simple;151.0;0.0;0.0
2008-02-20;milhojas frambuesa;9.0;0.0;0.0
2008-02-20;mousse tres chocolates;1.0;0.0;0.0
2008-02-20;palmera chocolate;48.0;0.0;0.0
2008-02-20;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-20;tarta de manzana;7.0;0.0;0.0
2008-02-20;tarta opera;0.0;0.0;0.0
2008-02-20;tortel;261.0;0.0;0.0
2008-02-21;baguette;88.0;0.0;0.0
2008-02-21;croissant petit;177.0;0.0;0.0
2008-02-21;croissant simple;155.0;0.0;0.0
2008-02-21;milhojas frambuesa;11.0;0.0;0.0
2008-02-21;mousse tres chocolates;1.0;0.0;0.0
2008-02-21;palmera chocolate;49.0;0.0;0.0
2008-02-21;postre de fresas y mascarpone;0.0;0.0;0.0
2008-02-21;tarta de manzana;9.0;0.0;0.0
2008-02-21;tarta opera;0.0;0.0;0.0
2008-02-21;tortel;311.0;0.0;0.0
2008-02-22;baguette;99.0;0.0;0.0
2008-02-22;croissant petit;211.0;0.0;0.0
2008-02-22;croissant simple;199.0;0.0;0.0
2008-02-22;milhojas frambuesa;15.0;0.0;0.0
2008-02-22;mousse tres chocolates;3.0;0.0;0.0
2008-02-22;palmera chocolate;60.0;0.0;0.0
